evenement_id,titre,type_evenement,theme,region_touristique,municipalite,date_debut,date_fin,site_web_disponible,texte,duree_jours
EVENMTOV502FFC,Le Club de hockey Canadien,Manifestation sportive,Sports et plein air,Montréal,Montréal,2025-09-22,2026-04-11,TRUE,Le Club de hockey Canadien | Sports et plein air |,202
EVENMTOV503N7P,Everlasting (Sans trève),Grande exposition,Architecture|Cinéma|Culture autochtone,Montréal,Montréal,2025-09-25,2026-09-27,TRUE,"Everlasting (Sans trève) | Architecture|Cinéma|Culture autochtone | Exposition|Films, projection",368
EVENMTOV503T4U,Statera - l'archipel fabuleux,Expérience multimédia / immersive,,Montérégie,Sorel-Tracy,2024-06-21,2024-09-30,TRUE,Statera - l'archipel fabuleux | |,102
EVENMTOV5035M9,L'embouchure pointe festive,Festival,,Montérégie,Coteau-Du-Lac,2024-06-27,2024-07-31,TRUE,L'embouchure pointe festive | |,35
EVENMTOV5035LW,Sur l'air de Chambly,Festival,,Montérégie,Chambly,2024-07-03,2024-08-14,TRUE,Sur l'air de Chambly | |,43
EVENMTOV503BKK,Festival de cinéma Plan d'ensemble,Festival,,Montérégie,Châteauguay,2024-09-28,2024-09-28,TRUE,Festival de cinéma Plan d'ensemble | |,1
EVENMTOV50395O,Festiv'Halloween,Festival,,Montérégie,Coteau-Du-Lac,2024-10-01,2024-10-31,TRUE,Festiv'Halloween | |,31
EVENMTOV500SMA,Marché de Noël de Marieville,Marché de Noël,Noël,Montérégie,Marieville,2024-12-06,2024-12-08,FALSE,Marché de Noël de Marieville | Noël | Animation pour enfants|Dégustation|Exposition|Illumination,3
EVENMTOV5035B2,Fééria,Festival,Noël,Montérégie,Brossard,2024-12-07,2024-12-09,TRUE,Fééria | Noël |,3
EVENMTOV503FPW,Interra - Expérience immersive,Expérience multimédia / immersive,,Montérégie,Saint-Hyacinthe,2025-01-01,2025-12-31,FALSE,Interra - Expérience immersive | | Animation pour enfants|Atelier|Dégustation|Expérience en réalité virtuelle|Exposition|Spectacle immersif|Visite autonome,365
EVENMTOV5039YZ,Fête à la plage,"Concert, spectacle",,Outaouais,Lac-Simon,2025-07-26,2025-07-26,TRUE,"Fête à la plage | | Activités foraines|Concert, spectacle",1
EVENMTOV500PX6,Féerie des couleurs du Mont Sainte-Marie,Festival,Couleurs d'automne,Outaouais,Lac-Sainte-Marie,2025-10-11,2025-10-13,TRUE,"Féerie des couleurs du Mont Sainte-Marie | Couleurs d'automne | Animation pour enfants|Concert, spectacle|Dégustation|Démonstration|Exposition",3
EVENMTOV500S0J,Symposium Gatineau en Couleurs,Festival,Peinture et dessin,Outaouais,Gatineau,2025-11-07,2025-11-09,TRUE,Symposium Gatineau en Couleurs | Peinture et dessin | Atelier|Démonstration|Exposition,3
EVENMTOV5039YF,Bal de Neige,Festival,,Outaouais,Gatineau,2026-01-30,2026-02-16,TRUE,"Bal de Neige | | Animation pour enfants|Concert, spectacle|Contes et légendes|Exposition|Glissade sur neige|Illumination",18
EVENMTOV500RFQ,Domaine des flocons - Bal de Neige,Festival,Sports et plein air,Outaouais,Gatineau,2026-01-30,2026-02-16,TRUE,"Domaine des flocons - Bal de Neige | Sports et plein air | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Dégustation|Démonstration|Exposition|Glissade sur neige|Labyrinthe",18
EVENMTOV500OOR,Marathon canadien de ski,Manifestation sportive,,Outaouais,Montebello,2026-02-07,2026-02-09,TRUE,Marathon canadien de ski | | Concours / tournoi,3
EVENMTOV503ABG,Igloofest Gatineau,Festival,,Outaouais,Gatineau,2026-02-12,2026-02-14,TRUE,"Igloofest Gatineau | | Concert, spectacle",3
EVENMTOV5039TR,Salon du livre de l'Outaouais,Salon / foire,Culture et patrimoine québécois|Littérature et poésie,Outaouais,Gatineau,2026-02-19,2026-02-22,TRUE,"Salon du livre de l'Outaouais | Culture et patrimoine québécois|Littérature et poésie | Animation pour enfants|Atelier|Concert, spectacle",4
EVENMTOV502W5Y,Foules. Laboratoire humain,Grande exposition,Arts décoratifs / visuels|Arts numériques|Culture et patrimoine québécois|Musique,Québec,Québec,2024-12-19,2026-08-30,TRUE,Foules. Laboratoire humain | Arts décoratifs / visuels|Arts numériques|Culture et patrimoine québécois|Musique | Visite autonome|Visite guidée,620
EVENMTOV500Q9V,Biennale internationale du lin de Portneuf,Festival,,Québec,Deschambault-Grondines,2025-06-14,2025-10-05,TRUE,Biennale internationale du lin de Portneuf | | Atelier|Conférence|Démonstration|Exposition,114
EVENMTOV503NN3,La Grande marche du Grand défi Pierre Lavoie,Manifestation sportive,Santé et mieux-être|Sports et plein air,Québec,Québec,2025-10-17,2025-10-17,TRUE,"La Grande marche du Grand défi Pierre Lavoie | Santé et mieux-être|Sports et plein air | Animation pour enfants|Concert, spectacle|Rallye",1
EVENMTOV500QTD,Foodcamp,Festival,Gastronomie et plaisirs gourmands,Québec,Québec,2025-11-15,2025-11-16,TRUE,Foodcamp | Gastronomie et plaisirs gourmands | Atelier|Conférence|Dégustation|Démonstration,2
EVENMTOV502ALN,Festival Kaléidoscopes,Festival,Culture et patrimoine québécois,Québec,Québec,2025-12-27,2025-12-31,TRUE,"Festival Kaléidoscopes | Culture et patrimoine québécois | Concert, spectacle|Exposition|Spectacle immersif",5
EVENMTOV503NQW,Onhwa' Lumina,Expérience multimédia / immersive,Arts numériques|Histoire,Québec,Wendake,2026-01-01,2027-03-31,TRUE,Onhwa' Lumina | Arts numériques|Histoire | Illumination|Interprétation de la culture autochtone,455
EVENMTOV500OEX,Mois Multi,Festival,,Québec,Québec,2026-01-27,2026-03-01,TRUE,"Mois Multi | | Atelier|Concert, spectacle|Conférence|Exposition",34
EVENMTOV502BE3,Expo habitat Québec,Salon / foire,Design,Québec,Québec,2026-02-05,2026-02-08,TRUE,Expo habitat Québec | Design | Exposition|Visite autonome,4
EVENMTOV503N2F,Marché de Noël de Desbiens,Marché de Noël,Noël,Saguenay--Lac-Saint-Jean,Desbiens,2025-11-13,2025-11-14,TRUE,Marché de Noël de Desbiens | Noël | Animation pour enfants|Démonstration|Exposition,2
EVENMTOV500R8C,Marché de Noël européen de Saguenay,Marché de Noël,Noël,Saguenay--Lac-Saint-Jean,Saguenay,2025-12-04,2025-12-07,TRUE,"Marché de Noël européen de Saguenay | Noël | Animation pour enfants|Concert, spectacle|Dégustation|Démonstration|Illumination",4
EVENMTOV500OPA,Saguenay en Neige,Festival,Sculpture,Saguenay--Lac-Saint-Jean,Jonquière,2026-02-05,2026-02-15,TRUE,"Saguenay en Neige | Sculpture | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Danse|Feux d'artifice|Glissade sur neige|Trampoline|Visite autonome",11
EVENMTOV500SU6,Festival des glaces de Saint-Gédéon,Festival,,Saguenay--Lac-Saint-Jean,Saint-Gédéon,2026-02-06,2026-02-15,FALSE,"Festival des glaces de Saint-Gédéon | | Animation pour enfants|Concert, spectacle|Concours / tournoi|Dégustation|Exposition|Feux d'artifice",10
EVENMTOV500SC6,Saint-Prime en hiver,Festival,,Saguenay--Lac-Saint-Jean,Saint-Prime,2026-02-19,2026-02-22,FALSE,Saint-Prime en hiver | | Activités foraines|Animation pour enfants|Dégustation|Glissade sur neige,4
EVENMTOV500RFP,Les Hivernades de Saguenay,Festival,,Saguenay--Lac-Saint-Jean,Saguenay,2026-03-02,2026-03-08,TRUE,"Les Hivernades de Saguenay | | Animation pour enfants|Concert, spectacle|Dégustation",7
EVENMTOV500OP2,Festival d'hiver de Roberval,Festival,,Saguenay--Lac-Saint-Jean,Roberval,2026-03-05,2026-03-08,FALSE,"Festival d'hiver de Roberval | | Concert, spectacle|Concours / tournoi|Dégustation|Démonstration",4
EVENMTOV500OHO,Regard- Festival international du court métrage au Saguenay,Festival,,Saguenay--Lac-Saint-Jean,Chicoutimi,2026-03-18,2026-03-22,TRUE,"Regard- Festival international du court métrage au Saguenay | | Atelier|Concert, spectacle|Concours / tournoi|Conférence|Contes et légendes|Films, projection",5
EVENMTOV500RAZ,Festival littéraire des îles,Festival,,Îles-de-la-Madeleine,Les Îles-De-La-Madeleine,2026-06-26,2026-06-28,TRUE,"Festival littéraire des îles | | Animation pour enfants|Atelier|Concert, spectacle|Conférence|Dégustation",3
EVENMTOV500QHB,Festival de Cirque des Îles,Festival,Cirque,Îles-de-la-Madeleine,Cap-Aux-Meules,2026-07-19,2026-07-25,TRUE,"Festival de Cirque des Îles | Cirque | Animation pour enfants|Concert, spectacle|Démonstration",7
EVENMTOV500OO7,Festival acadien,Festival,Histoire,Îles-de-la-Madeleine,Les Îles-De-La-Madeleine,2026-08-01,2026-08-15,TRUE,"Festival acadien | Histoire | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Contes et légendes|Danse|Défilé / parade|Dégustation|Démonstration|Feux d'artifice|Illumination|Rallye",15
EVENMTOV500OO8,Concours de Châteaux de Sable des Îles,Festival,,Îles-de-la-Madeleine,Les Îles-De-La-Madeleine,2026-08-07,2026-08-09,TRUE,"Concours de Châteaux de Sable des Îles | | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Dégustation|Démonstration",3
EVENMTOV500O9R,Festival international Contes en Îles,Festival,Littérature et poésie,Îles-de-la-Madeleine,Les Îles-De-La-Madeleine,2026-09-27,2026-10-04,TRUE,Festival international Contes en Îles | Littérature et poésie | Animation pour enfants|Contes et légendes,8
EVENMTOV500T2B,Festival de courts métrages Images en vues,Festival,,Îles-de-la-Madeleine,Les Îles-De-La-Madeleine,2026-11-05,2026-11-08,TRUE,"Festival de courts métrages Images en vues | | Animation pour enfants|Conférence|Films, projection",4
